,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score
estimator,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time
DistalPhalanxOutlineAgeGroup,2.381410331726074,1.6186651325225827,32.145201904,1.6115250301361084,16.39574823,1.0998242950439452,0.825432367324829,0.7880031585693359,1.398047924,0.5873755836486816,0.42423956871032714,131.0054283,0.47238371849060057,0.18946228,0.13813284873962398,0.27130842208862305,0.22329555511474605,0.401312208,0.8278885427483559,0.8102492211838006,0.8305399789999999,0.8208411214953271,0.805192108,0.8196192454136378,0.8030460366908965,0.8215714780200761,0.797715472
DistalPhalanxOutlineCorrect,3.827140083312988,2.2388892650604246,52.390022134000006,2.467411489486694,22.96739187,1.734991807937622,1.4510284996032714,1.0384574222564698,2.403227234,0.8653824806213379,0.576767110824585,210.71202048,0.649202299118042,0.244771719,0.17911642074584957,0.4216850757598877,0.2983168506622314,0.634770536,0.8356259740259742,0.815781818181818,0.8404116882,0.8340506493506494,0.802493506,0.8525207792207793,0.7805935064935066,0.8202974025974026,0.818487013
DistalPhalanxTW,2.3811727619171146,1.5436148548126218,34.825895318,1.5824330806732179,14.39989896,1.1050261306762696,0.8553808403015136,0.769520320892334,1.379991436,0.6023380947113037,0.41621643066406244,167.90036152,0.484526481628418,0.182553196,0.13825189590454098,0.26977663040161126,0.2266694831848144,0.403501225,0.7762616822429906,0.7650501903772932,0.777736241,0.7799723087573555,0.769989616,0.7703322949117342,0.7462062997577016,0.7829525787469713,0.755053652
ECG200,1.0318738079071044,0.6794489097595215,13.173726452,0.7208979320526123,1.90507884,0.47775298118591303,0.46035079002380364,0.34738544464111326,0.725474977,0.3655271339416504,0.2893742942810059,48.021421595999996,0.3354850578308105,0.030907583,0.0897094345092773,0.2072596168518066,0.16390480041503905,0.237485313,0.898,0.945,0.913,0.8870000000000001,0.89,0.932,0.807,0.917,0.785
ECG5000,46.93986963272094,24.726197128295897,412.88025824,31.744499387741087,357.5484559,20.015018386840822,16.579170494079587,12.852409381866455,23.70531063,6.431053657531739,3.7722313499450686,478.80000271999995,4.664547996520996,4.91361208,0.8845835494995118,2.4825156688690186,1.1353692626953125,5.884648037,0.9554,0.95312,0.9542400000000001,0.9560000000000001,0.9492,0.9582,0.9398799999999999,0.9548400000000001,0.934
ECGFiveDays,5.894185056686402,3.286976146697998,51.331042268,4.049360523223877,8.421810341,1.9289559745788574,2.0535522842407223,1.279501657485962,3.451055574,1.3920275402069093,0.8287094116210938,34.625426915999995,1.0626551437377931,0.20866642,0.21370765686035154,0.6140753936767578,0.36878020286560054,0.917716026,1.0,1.0,1.0,1.0,1.0,1.0,0.998414227015922,1.0,0.976251926
EOGHorizontalSignal,53.17631006240845,20.783742752075195,211.14401478,35.94910007476807,782.1010301,2.934299554824829,31.220981636047362,4.732813787460327,19.27185903,13.636526584625244,5.291862325668335,304.6749503,9.38341022491455,17.95409803,0.5032746505737304,8.67877447128296,1.2150758743286132,5.621022272,0.8734904214559387,0.7140842911877394,0.8323045978,0.8845153256704981,0.816312261,0.8931245210727969,0.6388850574712643,0.8659942528735632,0.505536398
EOGVerticalSignal,76.13047308921814,19.882061119079587,215.59774062000002,45.646943998336795,875.8843255,2.939901533126831,32.99284466743469,4.711301593780517,18.74449072,18.3264764213562,5.021773138046265,344.1661532,12.76115200996399,19.13583193,0.5162041759490966,8.843901443481446,1.2046465206146242,5.362913036,0.8249061302681993,0.6348295019157087,0.8204482759999999,0.820471264367816,0.75967433,0.851360153256705,0.5444693486590039,0.8245766283524905,0.44612069
Earthquakes,10.675934991836547,5.484740810394287,63.970338377999994,10.809507703781128,51.36272888,1.5260329246520996,7.511166791915893,1.7563411045074464,7.115817785,2.805713586807251,1.4242494106292725,109.07090218,2.881945514678955,2.056402397,0.23632276535034177,2.319668827056885,0.5358086585998535,2.075710011,0.7675128564749882,0.7817765310892941,0.7978354374000001,0.7605656848994856,0.730972417,0.7818279569892473,0.7114446002805049,0.778705002337541,0.798176718
ElectricDevices,1316.3625826644898,286.5876316356659,1473.5581296,296.00032946586606,734.7615683,312.5298517417908,430.2788619613648,245.05505768775942,63.80207601,12.43558193206787,9.132300271987916,4418.3014508,11.103583002090454,7.516801882,2.351870632171631,4.3755525016784675,2.5889464187622067,13.14556284,0.8179717629361172,0.6140524713301426,0.8974935044000001,0.7115943814882894,0.863196227,0.9136855433978404,0.8596501164712954,0.8731381499849714,0.853579415
